State,Common_Name,Scientific_Name,Sub_Species_Name,Variation_Name,Global_Rank,Global_Rank_Range,Global_Rank_Qualifier,Global_Taxon,Global_Taxon_Range,Global_Taxon_Qualifier,State_Rank,State_Rank_Range,State_Rank_Qualifier,State_Listing,Federal_Listing
Indiana,Egg-leaf Witchgrass,Dichanthelium ovale,,,G5,,,T5,,,,,U,T,
Indiana,Deam's Panic-grass,Dichanthelium deamii,,,,,NR,,,,,,U,E,
Indiana,Swink's St. John's-wort,Hypericum swinkianum,,,,,NR,,,,,,U,E,
Indiana,Hairy Lettuce,Lactuca hirsuta,,,G5,,?,,,,,,U,T,
Maryland,Roughish Witchgrass,Dichanthelium leucothrix,,,G4,,?,,,Q,,,U,,
Maryland,Chaffweed,Anagallis minima,,,G5,,,,,,,,U,X,
Maryland,Bicknell's Witchgrass,Dichanthelium bicknellii,,,G5,,,,,,,,U,X,
Maryland,Spotted Joe-pye-weed,Eutrochium maculatum,,,G5,,,,,,,,U,X,
Maryland,Stout Smartweed,Persicaria robustior,,,G4,G5,,,,,,,U,X,
Maryland,Few-flowered Beakrush,Rhynchospora rariflora,,,G5,,,,,,,,U,X,
Indiana,Sweetflag,Acorus americanus,,,G5,,,,,,,,U,WL,
Indiana,Rough Bentgrass,Agrostis scabra,,,G5,,,,,,,,U,WL,
Indiana,Pearly Everlasting,Anaphalis margaritacea,,,G5,,,,,,,,U,WL,
Indiana,Tall Cinquefoil,Drymocallis arguta,,,G5,,,,,,,,U,WL,
Indiana,Wavyleaf Purple Coneflower,Echinacea simulata,,,G4,,,,,,,,U,WL,
Indiana,Downy Willowherb,Epilobium strictum,,,G5,,,,,,,,U,WL,
Indiana,Slender Goldentop,Euthamia caroliniana,,,G5,,,,,,,,U,WL,
Indiana,Kidney Leaf Mud-plantain,Heteranthera reniformis,,,G5,,,,,,,,U,WL,
Indiana,Northern St. John's-wort,Hypericum boreale,,,G5,,,,,,,,U,WL,
Indiana,Canadian St. John's-wort,Hypericum canadense,,,G5,,,,,,,,U,WL,
Indiana,Wood Lily,Lilium philadelphicum,,,G5,,,,,,,,U,WL,
Indiana,Missouri Goldenrod,Solidago missouriensis,,,G5,,,,,,,,U,WL,
Indiana,Showy Goldenrod,Solidago speciosa,,,G5,,,,,,,,U,WL,
Indiana,Clingman's Hedge-nettle,Stachys clingmanii,,,G2,,,,,,,,U,WL,
Indiana,Tennessee Chickweed,Stellaria corei,,,G4,,,,,,,,U,WL,
Indiana,Northern Wild Rice,Zizania palustris,,,G5,,,,,,,,U,WL,
Indiana,Slender Crabgrass,Digitaria filiformis,,,G5,,,,,,,,U,T,
Indiana,Bog Bedstraw,Galium labradoricum,,,G5,,,,,,,,U,T,
Indiana,Yellow Avens,Geum aleppicum,,,G5,,,,,,,,U,T,
Indiana,Virginia Sneezeweed,Helenium virginicum,,,G3,,,,,,,,U,T,LT
Indiana,Stout Rush,Juncus nodatus,,,G5,,,,,,,,U,T,
Indiana,Northern Adder's-tongue,Ophioglossum pusillum,,,G5,,,,,,,,U,T,
Indiana,Tuckerman's Panicgrass,Panicum tuckermanii,,,G3,G5,,,,,,,U,T,
Indiana,Yellow Sundrops,Calylophus serrulatus,,,G5,,,,,,,,U,E,
Indiana,Chestnut Colored Sedge,Carex castanea,,,G5,,,,,,,,U,E,
Indiana,Missouri Sedge,Carex missouriensis,,,G4,,,,,,,,U,E,
Indiana,Necklace Sedge,Carex projecta,,,G5,,,,,,,,U,E,
Indiana,Green Star Sedge,Carex viridistellata,,,G2,G3,,,,,,,U,E,
Indiana,Giant Blue Cohosh,Caulophyllum giganteum,,,G4,G5,,,,,,,U,E,
Indiana,Weft Fern,Crepidomanes intricatum,,,G4,G5,,,,,,,U,E,
Indiana,Flattened Oatgrass,Danthonia compressa,,,G5,,,,,,,,U,E,
Indiana,Commons' Panic-grass,Dichanthelium commonsianum,,,G5,,,,,,,,U,E,
Indiana,Small Spikerush,Eleocharis parvula,,,G5,,,,,,,,U,E,
Indiana,Inflated Duckweed,Lemna gibba,,,G4,G5,,,,,,,U,E,
Indiana,Marguerite's Clubmoss,Lycopodiella margueritiae,,,G1,G2,,,,,,,U,E,
Indiana,Stout Smartweed,Persicaria robustior,,,G4,G5,,,,,,,U,E,
Indiana,Yellow Crownbeard,Verbesina occidentalis,,,G5,,,,,,,,U,E,
Maryland,Downy Yellow Foxglove,Aureolaria laevigata,,,G5,,,,,,,,U,,
Maryland,Umbrella Flatsedge,Cyperus diandrus,,,G5,,,,,,,,U,,
Maryland,American Waterwort,Elatine americana,,,G4,,,,,,,,U,,
Maryland,Bald Spikerush,Eleocharis erythropoda,,,G5,,,,,,,,U,,
Maryland,Hairy Fimbristylis,Fimbristylis puberula,,,G5,,,,,,,,U,,
Maryland,Pale St. John's-wort,Hypericum ellipticum,,,G5,,,,,,,,U,,
Maryland,Riverbank Quillwort,Isoetes riparia,,,G5,,,,,,,,U,,
Maryland,Philadelphia Panicgrass,Panicum philadelphicum,,,G5,,,,,,,,U,,
Maryland,Smooth Beardtongue,Penstemon laevigatus,,,G5,,,,,,,,U,,
Maryland,Swamp Smartweed,Persicaria setacea,,,G5,,,,,,,,U,,
Maryland,Spiral Pondweed,Potamogeton spirillus,,,G5,,,,,,,,U,,
Maryland,Pursh's Buttercup,Ranunculus pusillus,,,G5,,,,,,,,U,,
Maryland,Grassleaf Arrowhead,Sagittaria graminea,,,G5,,,,,,,,U,,
Maryland,Strap-leaf Arrowhead,Sagittaria subulata,,,G4,,,,,,,,U,,
Maryland,Mosquito Bulrush,Scirpus hattorianus,,,G5,,,,,,,,U,,LE
Maryland,Branching Bur-reed,Sparganium androcladum,,,G4,G5,,,,,,,U,,
Maryland,Giant Ironweed,Vernonia gigantea,,,G5,,,,,,,,U,,
Indiana,Large-flower False-foxglove,Aureolaria grandiflora,,pulchra,G4,G5,,T4,T5,,,,PX,,
New Hampshire,Seaside-sandwort,Honckenya peploides,robusta,,G5,,,T5,,,,,PX,E,
Indiana,Long-leaved Panic-grass,Coleataenia longifolia,longifolia,,G5,,,T5,,Q,,,PX,,
Indiana,Dense Cotton-grass,Eriophorum spissum,,,G5,,,T5,,,,,PX,,
Indiana,Bracken Fern,Pteridium aquilinum,,pseudocaudatum,G5,,,T5,,,,,PX,,
Maryland,False Scurfpea,Orbexilum psoralioides,,,G5,,,T4,,Q,,,PX,,
Indiana,Little Bur-head,Echinodorus parvulus,,,G3,,?,,,,,,PX,,
Indiana,Early Coralroot,Corallorhiza trifida,,verna,G5,,?,,,Q,,,PX,,
Indiana,Panic-grass,Dichanthelium mattamuskeetense,,,G4,,?,,,,,,PX,,
Indiana,Upright Pinweed,Lechea stricta,,,G4,,?,,,,,,PX,,
Indiana,Tall Bush-clover,Lespedeza stuevei,,,G4,,?,,,,,,PX,,
Indiana,Kansas Arrowhead,Sagittaria ambigua,,,G2,,?,,,,,,PX,,
Indiana,Rock Goldenrod,Solidago rupestris,,,G4,,?,,,,,,PX,,
Maryland,Dragon’s Mouth Orchid,Arethusa bulbosa,,,G5,,,,,,,,PX,X,
Maryland,Nettleleaf Sage,Salvia urticifolia,,,G5,,,,,,,,PX,X,
Maryland,Chaffseed,Schwalbea americana,,,G2,,,,,,,,PX,X,
Maryland,Coastal False Asphodel,Triantha racemosa,,,G5,,,,,,,,PX,X,
Indiana,Mead's Milkweed,Asclepias meadii,,,G2,,,,,,,,PX,RE,LT
Indiana,Tennessee Milk-vetch,Astragalus tennesseensis,,,G3,,,,,,,,PX,RE,
New Hampshire,Rigid Sedge,Carex tetanica,,,G4,G5,,,,,,,PX,E,
New Hampshire,Scarlet Painted-cup,Castilleja coccinea,,,G5,,,,,,,,PX,E,
New Hampshire,Seaside Bluebells,Mertensia maritima,,maritima,G5,,,,,,,,PX,E,
Indiana,Climbing Fumatory,Adlumia fungosa,,,G4,,,,,,,,PX,,
Indiana,Carolina Anemone,Anemone caroliniana,,,G5,,,,,,,,PX,,
Indiana,Swamp-pink,Arethusa bulbosa,,,G5,,,,,,,,PX,,
Indiana,Oklahoma Grass-pink,Calopogon oklahomensis,,,G3,,,,,,,,PX,,
Indiana,Few-flower Sedge,Carex pauciflora,,,G5,,,,,,,,PX,,
Indiana,Small Enchanter's Nightshade,Circaea alpina,,,G5,,,,,,,,PX,,
Indiana,Broadleaf Beardgrass,Gymnopogon ambiguus,,,G4,,,,,,,,PX,,
Indiana,Sewing Needlegrass,Hesperostipa comata,,,G5,,,,,,,,PX,,
Indiana,Common Mare's-tail,Hippuris vulgaris,,,G5,,,,,,,,PX,,
Indiana,Golden St. John's-wort,Hypericum frondosum,,,G4,,,,,,,,PX,,
Indiana,Creeping Juniper,Juniperus horizontalis,,,G5,,,,,,,,PX,,
